Name,Diameter (km),Planet
Adrastea,32,Jupiter
Aegaeon,1.32,Saturn
Aegir,12,Saturn
Aitne,6,Jupiter
Albiorix,52,Saturn
Amalthea,334,Jupiter
Ananke,40,Jupiter
Anthe,2,Saturn
Aoede,16,Jupiter
Arche,6,Jupiter
Ariel,2316,Uranus
Atlas,60.4,Saturn
Autonoe,8,Jupiter
Bebhionn,12,Saturn
Belinda,180,Uranus
Bergelmir,12,Saturn
Bestla,12,Saturn
Bianca,100,Uranus
Caliban,140,Uranus
Callirrhoe,17.2,Jupiter
Callisto,9641.2,Jupiter
Calypso,38,Saturn
Carme,60,Jupiter
Carpo,12,Jupiter
Chaldene,7.6,Jupiter
Charon,2424,Pluto
Cordelia,80,Uranus
Cressida,160,Uranus
Cupid,36,Uranus
Cyllene,8,Jupiter
Daphnis,15.4,Saturn
Deimos,24,Mars
Desdemona,140,Uranus
Despina,300,Neptune
Dione,2246,Saturn
Elara,160,Jupiter
Enceladus,1008.4,Saturn
Epimetheus,234,Saturn
Erinome,6.4,Jupiter
Erriapus,16,Saturn
Euanthe,6,Jupiter
Eukelade,16,Jupiter
Euporie,4,Jupiter
Europa,6243.2,Jupiter
Eurydome,6,Jupiter
Farbauti,12,Saturn
Fenrir,8,Saturn
Ferdinand,40,Uranus
Fornjot,12,Saturn
Francisco,44,Uranus
Galatea,320,Neptune
Ganymede,10524.8,Jupiter
Greip,12,Saturn
Halimede,120,Neptune
Harpalyke,8.8,Jupiter
Hati,12,Saturn
Hegemone,12,Jupiter
Helene,72,Saturn
Helike,16,Jupiter
Hermippe,8,Jupiter
Herse,8,Jupiter
Himalia,340,Jupiter
Hydra,95,Pluto
Hyperion,540,Saturn
Hyrrokkin,16,Saturn
Iapetus,2938,Saturn
Ijiraq,24,Saturn
Io,7285.96,Jupiter
Iocaste,10.4,Jupiter
Isonoe,7.6,Jupiter
Janus,356,Saturn
Jarnsaxa,12,Saturn
Juliet,220,Uranus
Kale,4,Jupiter
Kallichore,8,Jupiter
Kalyke,10.4,Jupiter
Kari,12,Saturn
Kiviuq,32,Saturn
Kore,8,Jupiter
Laomedeia,80,Neptune
Larissa,380,Neptune
Leda,20,Jupiter
Loge,12,Saturn
Lysithea,48,Jupiter
Mab,48,Uranus
Margaret,40,Uranus
Megaclite,10.8,Jupiter
Methone,5.8,Saturn
Metis,86,Jupiter
Mimas,792.8,Saturn
Miranda,943.2,Uranus
Mneme,8,Jupiter
